12TH AV 	200 - 299 	L ST - K ST 	Not Posted, NS Thu & SS Fri
DIAMOND ST 	1000 - 1099 	CASS ST - DAWES ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
DIAMOND ST 	1100 - 1199 	DAWES ST - EVERTS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
DIAMOND ST 	1200 - 1299 	EVERTS ST - FANUEL ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
DIAMOND ST 	1300 - 1399 	FANUEL ST - GRESHAM ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
DIAMOND ST 	1400 - 1499 	GRESHAM ST - HAINES ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
DIAMOND ST 	1500 - 1599 	HAINES ST - INGRAHAM ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
DIAMOND ST 	1600 - 1699 	INGRAHAM ST - JEWELL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DIAMOND ST 	1700 - 1899 	JEWELL ST - LAMONT ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DIAMOND ST 	1900 - 1999 	LAMONT ST - MORRELL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DIAMOND ST 	2000 - 2099 	MORRELL ST - NOYES ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DIAMOND ST 	2100 - 2199 	NOYES ST - OLNEY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DIAMOND ST 	600 - 799 	OCEAN BL - MISSION BL 	Not Posted, Both Sides Mon & Fri
DIAMOND ST 	800 - 899 	MISSION BL - BAYARD ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
DIAMOND ST 	900 - 999 	BAYARD ST - CASS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
DICKENS ST 	2800 - 2899 	BEGIN - SCOTT ST 	Not Posted, Both Sides Thu
DICKENS ST 	2900 - 2999 	SCOTT ST - ROSECRANS ST 	Not Posted, Both Sides Thu
DICKENS ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
DICKENS ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 4th Wed
DICKENS ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
DICKENS ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 4th Wed
DICKENS ST 	3400 - 3499 	PLUM ST - CLOVE ST 	Not Posted, Both Sides Even Month 4th Wed
DICKENS ST 	3500 - 3599 	CLOVE ST - END 	Not Posted, Both Sides Even Month 4th Wed
DILLON WY 	4100 - 4199 	CHICAGO ST - END 	Not Posted, Both Sides Even Month 4th Thu
DIXIE DR 	4850 - 4899 	LAW ST - BERYL ST 	Not Posted, Both Sides Odd Month 3rd Wed
DIXIE DR 	4900 - 4949 	BERYL ST - CRYSTAL DR 	Not Posted, Both Sides Odd Month 3rd Wed
DIXON PL 	3700 - 3799 	CHATSWORTH BL - WARRINGTON ST 	Not Posted, Both Sides Even Month 4th Wed
DIXON PL 	3800 - 3849 	WARRINGTON ST - END 	Not Posted, Both Sides Even Month 4th Wed
DON LORENZO DR 	3500 - 3599 	MT LAURENCE DR - END 	Not Posted, Both Sides Even Month 4th Thu
DONLEY ST 	3200 - 3269 	DEWES WY - AERONCA AV 	Not Posted, Both Sides Even Month 4th Thu
DONLEY ST 	3270 - 3299 	AERONCA AV - CRETE ST 	Not Posted, Both Sides Even Month 4th Thu
DORCAS ST 	1100 - 1149 	BEGIN - NAPLES PL 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1150 - 1199 	NAPLES PL - MORENA BL 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1200 - 1249 	MORENA BL - SAVANNAH PL 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1250 - 1265 	SAVANNAH PL - SAVANNAH ST 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1266 - 1269 	SAVANNAH ST - GERTRUDE ST 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1270 - 1299 	GERTRUDE ST - BIANCA AV 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1300 - 1329 	BIANCA AV - HILDA RD 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1330 - 1369 	HILDA RD - LILLIAN ST 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1370 - 1379 	LILLIAN ST - EVERVIEW RD 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1380 - 1499 	EVERVIEW RD - ONSTAD ST 	Not Posted, Both Sides Odd Month 1st Tue
DORCAS ST 	1500 - 1549 	ONSTAD ST - END 	Not Posted, Both Sides Odd Month 1st Tue
DOW PL 	3050 - 3099 	SUNLINE AV - END 	Not Posted, Both Sides Even Month 3rd Tue
DRISCOLL DR 	3000 - 3019 	PLONE WY - BARROWS ST 	Not Posted, Both Sides Odd Month 3rd Tue
DRISCOLL DR 	3020 - 3049 	BARROWS ST - HUERFANO AV 	Not Posted, Both Sides Odd Month 3rd Tue
DRISCOLL DR 	3050 - 3119 	HUERFANO AV - WAYNE LN 	Not Posted, Both Sides Odd Month 3rd Tue
DRISCOLL DR 	3120 - 3199 	WAYNE LN - AVATI DR 	Not Posted, Both Sides Even Month 4th Thu
DUDLEY ST 	3600 - 3799 	SILVER GATE AV - CATALINA BL 	Not Posted, Both Sides Even Month 1st Wed
DUKE ST 	3200 - 3299 	BEGIN - MIDWAY DR 	Not Posted, Both Sides Mon
DUMAS ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 1st Wed
DUMAS ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 1st Wed
DUMAS ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 1st Wed
DUMAS ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 1st Wed
DUMAS ST 	3400 - 3499 	PLUM ST - CLOVE ST 	Not Posted, Both Sides Even Month 1st Wed
DUMAS ST 	3500 - 3599 	CLOVE ST - CHATSWORTH BL 	Not Posted, Both Sides Even Month 1st Wed
DUNHAVEN ST 	2100 - 2199 	WHITEHAVEN WY - MILTON ST 	Not Posted, Both Sides Odd Month 3rd Tue
DUNHAVEN ST 	2200 - 2299 	MILTON ST - NORTHAVEN AV 	Not Posted, Both Sides Odd Month 3rd Tue
DUPONT ST 	0 - 0 	CATALINA BL - CATALINA RD 	Not Posted, Both Sides Even Month 1st Wed
DUPONT ST 	3800 - 3819 	CATALINA RD - SAVOY ST 	Not Posted, Both Sides Even Month 1st Wed
DUPONT ST 	3820 - 3899 	SAVOY ST - TARENTO DR 	Not Posted, Both Sides Even Month 1st Wed
EAST BRIARFIELD DR 	1040 - 1069 	PACIFIC BEACH DR - END 	Posted (10am - 1pm), Both Sides 1st Thur
EAST MISSION BAY DR 	1100 - 2699 	PACIFIC HY - CLAIREMONT DR 	Not Posted, Both Sides Mon
EBERS ST 	1350 - 1399 	ADAIR ST - POINT LOMA AV 	Not Posted, Both Sides Even Month 4th Wed
EBERS ST 	1400 - 1449 	POINT LOMA AV - BERMUDA AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1450 - 1499 	BERMUDA AV - PESCADERO AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1500 - 1549 	PESCADERO AV - ORCHARD AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1550 - 1599 	ORCHARD AV - DEL MAR AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1600 - 1649 	DEL MAR AV - CORONADO AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1650 - 1699 	CORONADO AV - SANTA CRUZ AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1700 - 1749 	SANTA CRUZ AV - DEL MONTE AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1750 - 1799 	DEL MONTE AV - NARRAGANSETT AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1800 - 1849 	NARRAGANSETT AV - NIAGARA AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1850 - 1899 	NIAGARA AV - NEWPORT AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1900 - 1949 	NEWPORT AV - SANTA MONICA AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	1950 - 1999 	SANTA MONICA AV - SARATOGA AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	2000 - 2049 	SARATOGA AV - CAPE MAY AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	2050 - 2099 	CAPE MAY AV - BRIGHTON AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	2100 - 2131 	BRIGHTON AV - LONG BRANCH AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	2132 - 2159 	LONG BRANCH AV - MUIR AV 	Not Posted, Both Sides 1st Wed
EBERS ST 	2160 - 2199 	MUIR AV - VOLTAIRE ST 	Not Posted, Both Sides 1st Wed
EBERS ST 	2200 - 2249 	VOLTAIRE ST - LOTUS ST 	Not Posted, Both Sides 1st Wed
EBERS ST 	2250 - 2299 	LOTUS ST - GREENE ST 	Not Posted, Both Sides 1st Wed
EBERS ST 	2300 - 2351 	GREENE ST - WEST POINT LOMA BL 	Not Posted, Both Sides 1st Wed
ECOCHEE AV 	3370 - 3399 	BEGIN - MORAGA AV 	Not Posted, Both Sides Even Month 4th Thu
ECOCHEE AV 	3400 - 3499 	MORAGA AV - TAOS DR 	Not Posted, Both Sides Odd Month 3rd Tue
ECOCHEE AV 	3850 - 3899 	BEGIN - GROS VENTRE AV 	Not Posted, Both Sides Even Month 4th Thu
ECOCHEE AV 	3900 - 3999 	GROS VENTRE AV - FORNEY AV 	Not Posted, Both Sides Even Month 4th Thu
ECOCHEE AV 	4000 - 4099 	FORNEY AV - EPANOW AV 	Not Posted, Both Sides Even Month 4th Thu
EDELL PL 	2900 - 2969 	BEGIN - EDWIN PL 	Not Posted, Both Sides Even Month 3rd Tue
EDELL PL 	2970 - 2999 	EDWIN PL - END 	Not Posted, Both Sides Even Month 3rd Tue
EDEN DR 	1700 - 1799 	JEWELL ST - CROWN POINT DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
EDGE CLIFF DR 	1400 - 1499 	RIVIERA DR - BUENA VISTA ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
EDGEWORTH RD 	5000 - 5049 	BLACKMORE CT - CROWNHILL RD 	Not Posted, Both Sides Odd Month 3rd Wed
EDGEWORTH RD 	5050 - 5099 	CROWNHILL RD - BALFOUR CT 	Not Posted, Both Sides Odd Month 3rd Wed
EDGEWORTH RD 	5100 - 5149 	BALFOUR CT - BELLOC CT 	Not Posted, Both Sides Odd Month 3rd Wed
EDGEWORTH RD 	5150 - 5199 	BELLOC CT - HARBOUR HEIGHTS RD 	Not Posted, Both Sides Odd Month 3rd Wed
EDGEWORTH RD 	5200 - 5299 	HARBOUR HEIGHTS RD - SOLEDAD MTN RD 	Not Posted, Both Sides Odd Month 3rd Wed
EDISON ST 	4100 - 4129 	LLOYD ST - SERBIAN PL 	Not Posted, Both Sides Even Month 4th Thu
EDISON ST 	4130 - 4199 	SERBIAN PL - CHICAGO ST 	Not Posted, Both Sides Even Month 4th Thu
EDISON ST 	4200 - 4299 	CHICAGO ST - DENVER ST 	Not Posted, Both Sides Even Month 4th Thu
EDISON ST 	4300 - 4399 	DENVER ST - ERIE ST 	Not Posted, Both Sides Even Month 4th Thu
EDISON ST 	4400 - 4429 	ERIE ST - FALLBROOK LN 	Not Posted, Both Sides Even Month 4th Thu
EDISON ST 	4430 - 4449 	FALLBROOK LN - END 	Not Posted, Both Sides Even Month 4th Thu
EDISON ST 	4550 - 4699 	GESNER ST - TESLA ST 	Not Posted, Both Sides Even Month 4th Thu
EDISON ST 	4700 - 4999 	TESLA ST - CLAIREMONT DR 	Not Posted, Both Sides Even Month 4th Thu
EDITH LN 	3100 - 3229 	WHITTIER ST - WHITTIER ST 	Not Posted, Both Sides Even Month 1st Wed
EDWIN PL 	4900 - 4999 	GALLATIN WY - EDELL PL 	Not Posted, Both Sides Even Month 3rd Tue
EICHENLAUB ST 	3200 - 3259 	AVATI DR - CADDEN WY 	Not Posted, Both Sides Even Month 4th Thu
EICHENLAUB ST 	3260 - 3299 	CADDEN WY - RAFFEE DR 	Not Posted, Both Sides Even Month 4th Thu
EL MAC PL 	900 - 941 	JOHN ST - END 	Not Posted, Both Sides Even Month 1st Wed
EL PENON WY 	4600 - 4699 	FARGO AV - FARGO AV 	Not Posted, Both Sides Odd Month 3rd Tue
ELEVATION RD 	1300 - 1349 	HILDA RD - ELLSWORTH ST 	Not Posted, Both Sides Odd Month 1st Tue
ELEVATION RD 	1350 - 1399 	ELLSWORTH ST - CROWN ST 	Not Posted, Both Sides Odd Month 1st Tue
ELEVATION RD 	1400 - 1459 	CROWN ST - SOLAR ST 	Not Posted, Both Sides Odd Month 1st Tue
ELEVATION RD 	1460 - 1499 	SOLAR ST - ONSTAD ST 	Not Posted, Both Sides Odd Month 1st Tue
ELEVATION RD 	1500 - 1519 	ONSTAD ST - BROWNELL ST 	Not Posted, Both Sides Odd Month 1st Tue
ELEVATION RD 	1520 - 1549 	BROWNELL ST - PLAINVIEW RD 	Not Posted, Both Sides Odd Month 1st Tue
ELLIOTT ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 1st Wed
ELLIOTT ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 1st Wed
ELLIOTT ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 1st Wed
ELLIOTT ST 	3300 - 3499 	WILLOW ST - CLOVE ST 	Not Posted, Both Sides Even Month 1st Wed
ELLIOTT ST 	3500 - 3599 	CLOVE ST - CHATSWORTH BL 	Not Posted, Both Sides Even Month 1st Wed
ELLIOTT ST 	3600 - 3699 	CHATSWORTH BL - NARCISSUS DR 	Not Posted, Both Sides Even Month 1st Wed
ELLIOTT ST 	3700 - 3739 	NARCISSUS DR - JONQUIL DR 	Not Posted, Both Sides Even Month 1st Wed
ELLIOTT ST 	3740 - 3779 	JONQUIL DR - POINSETTIA DR 	Not Posted, Both Sides Even Month 1st Wed
ELLIOTT ST 	3780 - 3799 	POINSETTIA DR - END 	Not Posted, Both Sides Even Month 1st Wed
ELLSWORTH ST 	5100 - 5199 	MONITOR RD - ELEVATION RD 	Not Posted, Both Sides Odd Month 1st Tue
ELSINORE PL 	3400 - 3599 	MORAGA AV - KENOSHA AV 	Not Posted, Both Sides Even Month 4th Thu
EMELENE ST 	4900 - 4999 	BERYL ST - MALDEN ST 	Not Posted, Both Sides Odd Month 3rd Wed
EMERALD ST 	1000 - 1099 	CASS ST - DAWES ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
EMERALD ST 	1100 - 1199 	DAWES ST - EVERTS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
EMERALD ST 	1200 - 1299 	EVERTS ST - FANUEL ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
EMERALD ST 	1300 - 1399 	FANUEL ST - GRESHAM ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
EMERALD ST 	1600 - 1701 	INGRAHAM ST - JEWELL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EMERALD ST 	1900 - 1999 	LAMONT ST - MORRELL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EMERALD ST 	2000 - 2099 	MORRELL ST - NOYES ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EMERALD ST 	2100 - 2199 	NOYES ST - OLNEY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EMERALD ST 	600 - 799 	BEGIN - MISSION BL 	Not Posted, Both Sides Odd Month 3rd Wed
EMERALD ST 	800 - 899 	MISSION BL - BAYARD ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
EMERALD ST 	900 - 999 	BAYARD ST - CASS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
EMERSON ST 	2800 - 2899 	BEGIN - SCOTT ST 	Not Posted, Both Sides Thu
EMERSON ST 	2900 - 2999 	SCOTT ST - ROSECRANS ST 	Not Posted, Both Sides Thu
EMERSON ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
EMERSON ST 	3000 - 3099 	BEGIN - CLOVE ST 	Not Posted, Both Sides Even Month 4th Wed
EMERSON ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 4th Wed
EMERSON ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
EMERSON ST 	3500 - 3549 	CLOVE ST - CARLETON ST 	Not Posted, Both Sides Even Month 4th Wed
EMERSON ST 	3550 - 3599 	CARLETON ST - ADDISON ST 	Not Posted, Both Sides Even Month 4th Wed
EMORY ST 	3200 - 3299 	BEGIN - HANCOCK ST 	Not Posted, Both Sides Fri
ENTERPRISE ST 	3500 - 3669 	MIDWAY DR - JESSOP LN 	Not Posted, Both Sides Mon
ENTERPRISE ST 	3670 - 3699 	JESSOP LN - PACIFIC HY SB ON RA 	Not Posted, Both Sides Mon
EPANOW AV 	4000 - 4099 	CHIPPEWA CT - ECOCHEE AV 	Not Posted, Both Sides Even Month 4th Thu
EPANOW AV 	4100 - 4199 	ECOCHEE AV - FOX AV 	Not Posted, Both Sides Even Month 4th Thu
EPINETTE AV 	4700 - 4799 	LUNA AV - HAVASUPAI AV 	Not Posted, Both Sides Even Month 3rd Tue
EPINETTE AV 	4800 - 4849 	HAVASUPAI AV - TONTO WY 	Not Posted, Both Sides Even Month 3rd Tue
ERIE ST 	1800 - 1899 	LITTLEFIELD ST - ASHTON ST 	Not Posted, Both Sides Odd Month 1st Tue
ERIE ST 	1900 - 2099 	ASHTON ST - NAPIER ST 	Not Posted, Both Sides Odd Month 3rd Tue
ERIE ST 	2100 - 2199 	NAPIER ST - MILTON ST 	Not Posted, Both Sides Odd Month 3rd Tue
ERIE ST 	2200 - 2299 	MILTON ST - LISTER ST 	Not Posted, Both Sides Odd Month 3rd Tue
ERIE ST 	2300 - 2399 	LISTER ST - KANE ST 	Not Posted, Both Sides Odd Month 3rd Tue
ERIE ST 	2400 - 2499 	KANE ST - JELLETT ST 	Not Posted, Both Sides Odd Month 3rd Tue
ERIE ST 	2500 - 2599 	JELLETT ST - INGULF ST 	Not Posted, Both Sides Odd Month 3rd Tue
ERIE ST 	2600 - 2699 	INGULF ST - END 	Not Posted, Both Sides Odd Month 3rd Tue
ERIE ST 	2700 - 2799 	CLAIREMONT DR - GESNER ST 	Not Posted, Both Sides Even Month 4th Thu
ERIE ST 	2800 - 2899 	GESNER ST - FIELD ST 	Not Posted, Both Sides Even Month 4th Thu
ERIE ST 	2900 - 2999 	FIELD ST - EDISON ST 	Not Posted, Both Sides Even Month 4th Thu
ERIE ST 	3000 - 3299 	EDISON ST - END 	Not Posted, Both Sides Even Month 4th Thu
ESTUDILLO ST 	3500 - 3549 	PACIFIC (FTG) HY - KURTZ ST 	Not Posted, Both Sides Mon
ETHAN ALLEN AV 	3500 - 3599 	TICONDEROGA ST - BUNKER HILL ST 	Not Posted, Both Sides Even Month 4th Thu
ETHAN ALLEN AV 	3600 - 3699 	BUNKER HILL ST - BRANDYWINE ST 	Not Posted, Both Sides Even Month 4th Thu
ETIWANDA ST 	2200 - 2299 	VOLTAIRE ST - GREENE ST 	Not Posted, Both Sides 1st Wed
ETIWANDA ST 	2300 - 2399 	GREENE ST - CASTELAR ST 	Not Posted, Both Sides 1st Wed
EUREKA ST 	1000 - 1099 	BEGIN - GAINES ST 	Not Posted, Both Sides Odd Month 1st Tue
EUREKA ST 	1100 - 1199 	GAINES ST - RILEY ST 	Not Posted, Both Sides Odd Month 1st Tue
EUREKA ST 	1200 - 1249 	RILEY ST - LAURETTA ST 	Not Posted, Both Sides Odd Month 1st Tue
EUREKA ST 	1250 - 1299 	LAURETTA ST - MILDRED ST 	Not Posted, Both Sides Odd Month 1st Tue
EUREKA ST 	1300 - 1399 	MILDRED ST - RUBY ST 	Not Posted, Both Sides Odd Month 1st Tue
EVERGREEN ST 	0 - 0 	POE ST - END 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1000 - 1049 	TALBOT ST - TRUMBULL ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1050 - 1099 	TRUMBULL ST - CANON ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1100 - 1149 	CANON ST - AVNDA DE PORTUGAL 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1150 - 1199 	AVNDA DE PORTUGAL - BYRON ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1200 - 1249 	BYRON ST - CARLETON ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1250 - 1299 	CARLETON ST - DICKENS ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1300 - 1349 	DICKENS ST - EMERSON ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1350 - 1399 	EMERSON ST - FENELON ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1400 - 1449 	FENELON ST - GARRISON ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1450 - 1499 	GARRISON ST - HUGO ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1500 - 1549 	HUGO ST - INGELOW ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1550 - 1599 	INGELOW ST - JARVIS ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1600 - 1649 	JARVIS ST - KEATS ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1650 - 1689 	KEATS ST - LOWELL ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1705 - 1749 	BEGIN - MACAULAY ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1750 - 1799 	MACAULAY ST - NEWELL ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1800 - 1849 	NEWELL ST - OLIPHANT ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	1850 - 1899 	OLIPHANT ST - POE ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	2000 - 2049 	BEGIN - STERNE ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	2050 - 2099 	STERNE ST - TENNYSON ST 	Not Posted, Both Sides Even Month 4th Wed
EVERGREEN ST 	2100 - 2149 	TENNYSON ST - UDALL ST 	Not Posted, Both Sides Even Month 1st Wed
EVERGREEN ST 	2250 - 2299 	WHITTIER ST - XENOPHON ST 	Not Posted, Both Sides Even Month 1st Wed
EVERGREEN ST 	2300 - 2349 	XENOPHON ST - END 	Not Posted, Both Sides Even Month 1st Wed
EVERGREEN ST 	2400 - 2429 	ZOLA ST - END 	Not Posted, Both Sides Even Month 1st Wed
EVERGREEN ST 	2450 - 2499 	BEGIN - BROWNING ST 	Not Posted, Both Sides Even Month 1st Wed
EVERGREEN ST 	2500 - 2549 	BROWNING ST - CURTIS ST 	Not Posted, Both Sides Even Month 1st Wed
EVERGREEN ST 	2550 - 2599 	CURTIS ST - DUMAS ST 	Not Posted, Both Sides Even Month 1st Wed
EVERGREEN ST 	2600 - 2649 	DUMAS ST - ELLIOTT ST 	Not Posted, Both Sides Even Month 1st Wed
EVERGREEN ST 	2650 - 2699 	ELLIOTT ST - FREEMAN ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	2700 - 2749 	FREEMAN ST - GOLDSMITH ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	2750 - 2799 	GOLDSMITH ST - HOMER ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	2800 - 2849 	HOMER ST - IBSEN ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	2850 - 2899 	IBSEN ST - JAMES ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	2900 - 2949 	JAMES ST - KINGSLEY ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	2950 - 2989 	KINGSLEY ST - LYTTON ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	3000 - 3027 	LYTTON ST - SHADOWLAWN ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	3030 - 3059 	SHADOWLAWN ST - SEVILLE ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	3060 - 3079 	SEVILLE ST - MALAGA ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERGREEN ST 	3080 - 3149 	MALAGA ST - MADRID ST 	Not Posted, Both Sides Odd Month 1st Wed
EVERTS ST 	4000 - 4049 	BEGIN - PARKER PL 	Posted (10am - 1pm), Both Sides 1st Thur
EVERTS ST 	4050 - 4099 	PARKER PL - PACIFIC BEACH DR 	Posted (10am - 1pm), Both Sides 1st Thur
EVERTS ST 	4100 - 4149 	PACIFIC BEACH DR - OLIVER AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4150 - 4199 	OLIVER AV - REED AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4200 - 4299 	REED AV - THOMAS AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4300 - 4399 	THOMAS AV - GRAND AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4400 - 4449 	GRAND AV - HORNBLEND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4450 - 4499 	HORNBLEND ST - GARNET AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4500 - 4599 	GARNET AV - FELSPAR ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4600 - 4649 	FELSPAR ST - EMERALD ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4650 - 4699 	EMERALD ST - DIAMOND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4700 - 4749 	DIAMOND ST - MISSOURI ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4750 - 4799 	MISSOURI ST - CHALCEDONY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4800 - 4849 	CHALCEDONY ST - LAW ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4850 - 4899 	LAW ST - BERYL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4900 - 4949 	BERYL ST - WILBUR AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	4950 - 4999 	WILBUR AV - LORING ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	5000 - 5049 	LORING ST - OPAL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
EVERTS ST 	5050 - 5099 	OPAL ST - TOURMALINE ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
